date,company,ticker,brand,sales,status,updated
2019-01-01,Hana Insurance Co Ltd,,하나손해보험,59000,F,2022-12-20 14:43:32.000
2019-01-01,Hanwha Hotels & Resorts CO LTD,,한화리조트,1045000,F,2022-12-20 14:43:32.000
2019-01-01,Hollys F&B Co Ltd,,할리스커피,586000,F,2022-12-20 14:43:32.000
2019-01-01,Home and Shopping co Ltd,,홈앤쇼핑,4205000,F,2022-12-20 14:43:32.000
2019-01-01,IKEA KOREA,,이케아,1452000,F,2022-12-20 14:43:32.000
2019-01-01,ILOOM INC,,일룸,325000,F,2022-12-20 14:43:32.000
2019-01-01,JEJUAIR CO LTD,089590,제주항공,1649000,F,2022-12-20 14:43:32.000
2019-01-01,K2 KOREA CO Ltd,,K2,779000,F,2022-12-20 14:43:32.000
2019-01-01,K2 KOREA CO Ltd,,아이더,580000,F,2022-12-20 14:43:32.000
2019-01-01,KB Insuraunce Co Ltd,,KB손해보험,373000,F,2022-12-20 14:43:32.000
2019-01-01,KFC Korea Co Ltd,YUM,KFC,444000,F,2022-12-20 14:43:32.000
2019-01-01,KYOBO BOOK CENTRE CO LTD,,교보문고,2885000,F,2022-12-20 14:43:32.000
2019-01-01,Kakao Corp,035720,카카오,16009000,F,2022-12-20 14:43:32.000
2019-01-01,LOTTE Himart Co Ltd,071840,하이마트,8264000,F,2022-12-20 14:43:32.000
2019-01-01,Meritz Fire & Marine Insurance CO Ltd,000060,메리츠화재,90000,F,2022-12-20 14:43:32.000
2019-01-01,NAVER Corporation,035420,네이버,19846000,F,2022-12-20 14:43:32.000
2019-01-01,NHN KCP Corp,060250,NHNKCP,19751000,F,2022-12-20 14:43:32.000
2019-01-01,PARIS CROISSANT CO LTD,,파리크라상,5867000,F,2022-12-20 14:43:32.000
2019-01-01,Paradise Company Limited,034230,파라다이스,203000,F,2022-12-20 14:43:32.000
2019-01-01,Phoenix Joongang Co Ltd,,휘닉스파크,313000,F,2022-12-20 14:43:32.000
2019-01-01,Pizza Hut Korea Ltd,YUM,피자헛,774000,F,2022-12-20 14:43:32.000
2019-01-01,SK MAGIC Co Ltd,,SK매직,11000,F,2022-12-20 14:43:32.000
2019-01-01,Shinesegae Simon Inc,,신세계사이먼,5409000,F,2022-12-20 14:43:32.000
2019-01-01,VenueG Co Ltd,019010,그랜드백화점,133000,F,2022-12-20 14:43:32.000
2019-01-01,WINIADIMCHAE Co Ltd,071460,위니아,13000,F,2022-12-20 14:43:32.000
2019-01-01,Wesang LLC,,요기요,1464000,F,2022-12-20 14:43:32.000
2019-01-01,YONG PYONG RESORT CORPORATION,070960,용평리조트,389000,F,2022-12-20 14:43:32.000
2019-01-01,woorihomeshopping,,롯데홈쇼핑,3770000,F,2022-12-20 14:43:32.000
2019-01-01,Amway Korea Ltd,,암웨이,401000,F,2022-12-20 14:43:32.000
2019-01-01,BGF retail CO LTD,282330,CU,12720000,F,2022-12-20 14:43:32.000
2019-01-01,Caffe Bene,,카페베네,458000,F,2022-12-20 14:43:32.000
2019-01-01,Creas F&C Co Ltd,110790,파리게이츠,348000,F,2022-12-20 14:43:32.000
2019-01-01,DAEHYUN CO LTD,016090,대현_블루페페,86000,F,2022-12-20 14:43:32.000
2019-01-01,DAEKYO,019680,대교,28000,F,2022-12-20 14:43:32.000
2019-01-01,DONG WHA DUTY FEE SHOP,,동화면세점,169000,F,2022-12-20 14:43:32.000
2019-01-01,E-MART24 Inc,,이마트24,2656000,F,2022-12-20 14:43:32.000
2019-01-01,Fashion group Hyungji co ltd,,형지,813000,F,2022-12-20 14:43:32.000
2019-01-01,GOLFZON,215000,골프존GDR아카데미,0,F,2022-12-20 14:43:32.000
2019-01-01,Gradiant Corporation,035080,인터파크,2597000,F,2022-12-20 14:43:32.000
2019-01-01,HANATOUR SERVICE INC,039130,하나투어,640000,F,2022-12-20 14:43:32.000
2019-01-01,HANSSEM CO LTD,009240,한샘,1224000,F,2022-12-20 14:43:32.000
2019-01-01,Homeplus Co Ltd,,홈플러스,26367000,F,2022-12-20 14:43:32.000
2019-01-01,Hyundai Oilbank Co Ltd,,현대오일뱅크,15547000,F,2022-12-20 14:43:32.000
2019-01-01,JD Sports Fashion Korea Inc,,제이디스포츠패션코리아,182000,F,2022-12-20 14:43:32.000
2019-01-01,JIN AIR CO LTD,272450,진에어,769000,F,2022-12-20 14:43:32.000
2019-01-01,KOREA GINSENG CORP,,정관장,464000,F,2022-12-20 14:43:32.000
2019-01-01,KOREA SEVEN CO LTD,,세븐일레븐,7400000,F,2022-12-20 14:43:32.000
2019-01-01,KTHitel Co Ltd,036030,KTH,1267000,F,2022-12-20 14:43:32.000
2019-01-01,LG H&H,051900,더페이스샵,86000,F,2022-12-20 14:43:32.000
2019-01-01,LG Uplus,032640,LG유플러스,983000,F,2022-12-20 14:43:32.000
2019-01-01,LOTTE rental co ltd,089860,KT금호렌터카,49000,F,2022-12-20 14:43:32.000
2019-01-01,MODETOURNETWORKINC,080160,모두투어,193000,F,2022-12-20 14:43:32.000
2019-01-01,MP Group Inc,065150,미스터피자,424000,F,2022-12-20 14:43:32.000
2019-01-01,NEPA Co Ltd,,네파,475000,F,2022-12-20 14:43:32.000
2019-01-01,SAMSUNG FIRE & MARINE INSURANCE CO LTD,000810,삼성화재,2060000,F,2022-12-20 14:43:32.000
2019-01-01,SAVEZONE I&C Corp,067830,세이브존,1570000,F,2022-12-20 14:43:32.000
2019-01-01,SIMMONS-K CO LTD,,시몬스,45000,F,2022-12-20 14:43:32.000
2019-01-01,SK Broadband Co Ltd,,SK브로드밴드,6000,F,2022-12-20 14:43:32.000
2019-01-01,SK Innovation Co Ltd,096770,SK에너지,24586000,F,2022-12-20 14:43:32.000
2019-01-01,SKNetworksCompanyLimited,001740,SK렌터카,48000,F,2022-12-20 14:43:32.000
2019-01-01,SSG COM Corp,,SSG닷컴,3896000,F,2022-12-20 14:43:32.000
2019-01-01,TBH GLOBAL CO LTD,084870,베이직하우스,70000,F,2022-12-20 14:43:32.000
2019-01-01,TOMNTOMS,,탐앤탐스,593000,F,2022-12-20 14:43:32.000
2019-01-01,sihankorea co ltd,,JDX,280000,F,2022-12-20 14:43:32.000
2019-01-01,A Twosome Place Co Ltd,,투썸플레이스,1537000,F,2022-12-20 14:43:32.000
2019-01-01,AMOREPACIFIC,090430,아모레퍼시픽,1255000,F,2022-12-20 14:43:32.000
2019-01-01,ASUNGDAISO COPORATION,,다이소,3890000,F,2022-12-20 14:43:32.000
2019-01-01,AceBed,003800,에이스침대,33000,F,2022-12-20 14:43:32.000
2019-01-01,CJ CGV,079160,CGV,255000,F,2022-12-20 14:43:32.000
2019-01-01,CJ Foodville Co Ltd,,CJ푸드빌,2244000,F,2022-12-20 14:43:32.000
2019-01-01,COWAY Co Ltd,021240,코웨이,6000,F,2022-12-20 14:43:32.000
2019-01-01,Coffee Bean Korea Co Ltd,,커피빈코리아,268000,F,2022-12-20 14:43:32.000
2019-01-01,DOKLIPMUN CO LTD,,독립문,169000,F,2022-12-20 14:43:32.000
2019-01-01,E-MART Inc,139480,이마트,41741000,F,2022-12-20 14:43:32.000
2019-01-01,GM Korea Company,GM,한국지엠자동차,0,F,2022-12-20 14:43:32.000
2019-01-01,GOLFZON,215000,골프존,1952000,F,2022-12-20 14:43:32.000
2019-01-01,GS Home Shopping Inc,,GS홈쇼핑,5839000,F,2022-12-20 14:43:32.000
2019-01-01,HANDSOME CORPORATION,020000,한섬,488000,F,2022-12-20 14:43:32.000
2019-01-01,HDC Shilla Duty Free LTD,,신라아이파크면세점,371000,F,2022-12-20 14:43:32.000
2019-01-01,HOTEL SHILLA CO LTD,008770,호텔신라,7845000,F,2022-12-20 14:43:32.000
2019-01-01,HYUNDAI LIVART FURNITURE COMPANY LIMITED,079430,현대리바트,331000,F,2022-12-20 14:43:32.000
2019-01-01,HYUNDAIMARINE&FIREINSURANCECO LTD,001450,현대해상,319000,F,2022-12-20 14:43:32.000
2019-01-01,Hanwha General Insurance Co Ltd,000370,한화손해보험,55000,F,2022-12-20 14:43:32.000
2019-01-01,Heungkuk Fire & Marine Insurance Co Ltd,000540,흥국화재,87000,F,2022-12-20 14:43:32.000
2019-01-01,Hotel Lotte Co Ltd,,호텔롯데,11975000,F,2022-12-20 14:43:32.000
2019-01-01,K2 KOREA CO Ltd,,와이드앵글,89000,F,2022-12-20 14:43:32.000
2019-01-01,KOLON INDUSTRIES INC,120110,코오롱스포츠,654000,F,2022-12-20 14:43:32.000
2019-01-01,KYOWON KUMON Co Ltd,,구몬학습,0,F,2022-12-20 14:43:32.000
2019-01-01,LG ELECTRONICS INC,066570,LG전자,3367000,F,2022-12-20 14:43:32.000
2019-01-01,LG H&H,051900,LG생활건강,131000,F,2022-12-20 14:43:32.000
2019-01-01,LOTTE CINEMA CO LTD,,롯데시네마,852000,F,2022-12-20 14:43:32.000
2019-01-01,MINISTOPKOREA CoLTD,,미니스톱,2323000,F,2022-12-20 14:43:32.000
